                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0626,                 4.1021,                 1.2207,                0.00319,                0.08148,                0.02425,                0.01973,                0.84863,                 4.2867,                 1.0892,             0.00020706,             0.00020706,             0.00020706
                      2,                 1.0937,                 2.9919,                 1.2524,                0.70587,                0.35081,                0.58088,                0.41933,                0.96078,                 2.5684,                 1.1254,             0.00041709,             0.00041709,             0.00041709
                      3,                 1.1278,                  2.204,                 1.2413,                 0.6889,                0.67555,                0.78718,                0.56401,                 1.0859,                 1.5931,                 1.2047,             0.00062288,             0.00062288,             0.00062288
                      4,                 1.1582,                 1.8237,                 1.2804,                0.68562,                0.80446,                 0.8125,                0.58645,                 1.1262,                   1.42,                 1.3126,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1932,                 1.6658,                 1.3126,                0.78032,                0.87127,                0.88928,                 0.6407,                 1.0584,                 1.3461,                 1.2246,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.1567,                  1.514,                  1.291,                0.84343,                0.86021,                0.90856,                0.66665,                 1.0359,                 1.3379,                 1.1987,             0.00068573,             0.00068573,             0.00068573
                      7,                  1.226,                 1.4328,                 1.2749,                0.81551,                0.87243,                0.93622,                0.67702,                 1.0875,                 1.3815,                 1.2064,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.1628,                 1.3379,                 1.2828,                0.90879,                0.89704,                0.95801,                0.66511,                 1.1334,                 1.1326,                 1.2512,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.1971,                 1.2577,                 1.2612,                0.94228,                 0.9365,                0.96712,                0.72632,                 1.0155,                 1.0449,                 1.2446,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.1826,                 1.2446,                 1.2552,                0.94318,                0.93429,                0.97016,                 0.7259,                 0.9828,                0.99044,                 1.1854,             0.00065745,             0.00065745,             0.00065745
                     11,                  1.101,                 1.1846,                 1.2628,                0.91044,                0.91365,                0.95721,                0.70245,                 1.0063,                 1.0526,                 1.2394,             0.00065038,             0.00065038,             0.00065038
